10000|"FRANS"|6|"Franchi S.p.A."|"Via Monte Bianco 34"|"Torino"|?|"10100"|"Italy"|3|05/10/1991|06/07/1991|05/15/1991|4.4500000E+00
10001|"MEREP"|8|"Mère Paillarde"|"43 rue St. Laurent"|"Montréal"|"Québec"|"H1J 1C3"|"Canada"|3|05/13/1991|06/10/1991|05/23/1991|7.9450000E+01
10002|"FOLKO"|3|"Folk och fä HB"|"Åkergatan 24"|"Bräcke"|?|"S-844 67"|"Sweden"|3|05/14/1991|06/11/1991|05/17/1991|3.6180000E+01
10003|"SIMOB"|8|"Simons bistro"|"Vinbæltet 34"|"København"|?|"1734"|"Denmark"|1|05/15/1991|06/12/1991|05/24/1991|1.8590000E+01
10004|"VAFFE"|3|"Vaffeljernet"|"Smagsløget 45"|"Århus"|?|"8200"|"Denmark"|2|05/16/1991|06/13/1991|05/20/1991|2.0120000E+01
10005|"WARTH"|5|"Wartian Herkku"|"Torikatu 38"|"Oulu"|?|"90110"|"Finland"|3|05/20/1991|06/17/1991|05/24/1991|4.1300000E+00
10006|"FRANS"|8|"Franchi S.p.A."|"Via Monte Bianco 34"|"Torino"|?|"10100"|"Italy"|1|05/21/1991|06/18/1991|05/24/1991|3.6200000E+00
10007|"MORGK"|4|"Morgenstern Gesundkost"|"Heerstr. 22"|"Leipzig"|?|"04179"|"Germany"|3|05/22/1991|06/19/1991|06/11/1991|3.6190000E+01
10008|"FURIB"|3|"Furia Bacalhau e Frutos do Mar"|"Jardim das rosas n. 32"|"Lisboa"|?|"1675"|"Portugal"|1|05/23/1991|06/20/1991|05/29/1991|7.4220000E+01
10009|"SEVES"|8|"Seven Seas Imports"|"90 Wadhurst Rd."|"London"|?|"OX15 4NB"|"UK"|1|05/24/1991|06/21/1991|05/31/1991|4.9210000E+01
10010|"SIMOB"|8|"Simons bistro"|"Vinbæltet 34"|"København"|?|"1734"|"Denmark"|1|05/28/1991|06/25/1991|05/30/1991|3.0100000E+00
10011|"WELLI"|6|"Wellington Importadora"|"Rua do Mercado, 12"|"Resende"|"SP"|"08737-363"|"Brazil"|3|05/29/1991|06/26/1991|06/03/1991|3.1540000E+01
10012|"LINOD"|6|"LINO-Delicateses"|"Ave. 5 de Mayo Porlamar"|"I. de Margarita"|"Nueva Esparta"|"4980"|"Venezuela"|1|05/30/1991|06/27/1991|06/03/1991|1.0259000E+02
10013|"RICSU"|3|"Richter Supermarkt"|"Starenweg 5"|"Genève"|?|"1204"|"Switzerland"|3|05/31/1991|06/28/1991|06/07/1991|5.0870000E+01
10014|"GROSR"|4|"GROSELLA-Restaurante"|"5ª Ave. Los Palos Grandes"|"Caracas"|"DF"|"1081"|"Venezuela"|3|06/03/1991|07/01/1991|06/12/1991|1.7670000E+01
10015|"PICCO"|6|"Piccolo und mehr"|"Geislweg 14"|"Salzburg"|?|"5020"|"Austria"|1|06/05/1991|07/03/1991|06/20/1991|2.2100000E+01
10016|"FOLIG"|3|"Folies gourmandes"|"184, chaussée de Tournai"|"Lille"|?|"59000"|"France"|2|06/06/1991|07/04/1991|07/11/1991|1.1301000E+02
10017|"BLONP"|4|"Blondel père et fils"|"24, place Kléber"|"Strasbourg"|?|"67000"|"France"|1|06/07/1991|07/05/1991|06/10/1991|1.1181000E+02
10018|"RATTC"|4|"Rattlesnake Canyon Grocery"|"2817 Milton Dr."|"Albuquerque"|"NM"|"87110"|"USA"|1|06/10/1991|07/08/1991|07/05/1991|6.5460000E+01
10019|"MAGAA"|6|"Magazzini Alimentari Riuniti"|"Via Ludovico il Moro 22"|"Bergamo"|?|"24100"|"Italy"|3|06/11/1991|07/09/1991|06/20/1991|2.4200000E+00
10020|"VINET"|2|"Vins et alcools Chevalier"|"59 rue de l'Abbaye"|"Reims"|?|"51100"|"France"|1|06/13/1991|07/11/1991|06/26/1991|2.7510000E+01
10021|"ERNSH"|7|"Ernst Handel"|"Kirchgasse 6"|"Graz"|?|"8010"|"Austria"|3|06/14/1991|07/12/1991|07/02/1991|7.5170000E+01
10022|"LAMAI"|1|"La maison d'Asie"|"1 rue Alsace-Lorraine"|"Toulouse"|?|"31000"|"France"|1|06/17/1991|07/15/1991|07/22/1991|4.6000000E+01
10023|"TOMSP"|3|"Toms Spezialitäten"|"Luisenstr. 48"|"Münster"|?|"44087"|"Germany"|1|06/18/1991|07/16/1991|06/28/1991|6.6870000E+01
10024|"RATTC"|4|"Rattlesnake Canyon Grocery"|"2817 Milton Dr."|"Albuquerque"|"NM"|"87110"|"USA"|1|06/19/1991|07/17/1991|06/21/1991|5.1900000E+00
10025|"RATTC"|4|"Rattlesnake Canyon Grocery"|"2817 Milton Dr."|"Albuquerque"|"NM"|"87110"|"USA"|3|06/21/1991|07/19/1991|06/25/1991|3.3200000E+00
10026|"MORGK"|5|"Morgenstern Gesundkost"|"Heerstr. 22"|"Leipzig"|?|"04179"|"Germany"|3|06/24/1991|07/22/1991|06/26/1991|1.3400000E+00
10027|"ERNSH"|7|"Ernst Handel"|"Kirchgasse 6"|"Graz"|?|"8010"|"Austria"|3|06/25/1991|07/23/1991|07/02/1991|1.0013000E+02
10028|"ANTON"|2|"Antonio Moreno Taquería"|"Mataderos  2312"|"México D.F."|?|"05023"|"Mexico"|1|06/26/1991|07/24/1991|07/31/1991|4.6860000E+01
10029|"SANTG"|3|"Santé Gourmet"|"Erling Skakkes gate 78"|"Stavern"|?|"4110"|"Norway"|2|06/27/1991|07/25/1991|07/05/1991|6.7200000E+00
10030|"LILAS"|1|"LILA-Supermercado"|"Carrera 52 con Ave. Bolívar #65-98 Llano Largo"|"Barquisimeto"|"Lara"|"3508"|"Venezuela"|3|07/01/1991|07/29/1991|07/08/1991|2.6490000E+01
10031|"SUPRD"|1|"Suprêmes délices"|"Boulevard Tirou, 255"|"Charleroi"|?|"B-6000"|"Belgium"|3|07/02/1991|07/16/1991|07/09/1991|7.0300000E+00
10032|"BOLID"|8|"Bólido Comidas preparadas"|"C/ Araquil, 67"|"Madrid"|?|"28023"|"Spain"|3|07/03/1991|07/31/1991|07/09/1991|2.6000000E-01
10033|"OTTIK"|3|"Ottilies Käseladen"|"Mehrheimerstr. 369"|"Köln"|?|"50739"|"Germany"|3|07/04/1991|08/15/1991|07/08/1991|8.5200000E+00
10034|"EASTC"|4|"Eastern Connection"|"35 King George"|"London"|?|"WX3 6FW"|"UK"|2|07/05/1991|08/02/1991|07/17/1991|6.4170000E+01
10035|"HILAA"|1|"HILARIÓN-Abastos"|"Carrera 22 con Ave. Carlos Soublette #8-35"|"San Cristóbal"|"Táchira"|"5022"|"Venezuela"|3|07/09/1991|08/06/1991|07/17/1991|1.9255000E+02
10036|"CENTC"|9|"Centro comercial Moctezuma"|"Sierras de Granada 9993"|"México D.F."|?|"05022"|"Mexico"|2|07/10/1991|08/07/1991|07/17/1991|1.7000000E+01
10037|"VAFFE"|2|"Vaffeljernet"|"Smagsløget 45"|"Århus"|?|"8200"|"Denmark"|3|07/11/1991|08/08/1991|07/17/1991|2.9630000E+01
10038|"OLDWO"|1|"Old World Delicatessen"|"2743 Bering St."|"Anchorage"|"AK"|"99508"|"USA"|3|07/12/1991|08/09/1991|07/15/1991|3.7370000E+01
10039|"MEREP"|1|"Mère Paillarde"|"43 rue St. Laurent"|"Montréal"|"Québec"|"H1J 1C3"|"Canada"|2|07/15/1991|08/12/1991|07/18/1991|7.3700000E+00
10040|"WHITC"|3|"White Clover Markets"|"1029 - 12th Ave. S."|"Seattle"|"WA"|"98124"|"USA"|3|07/17/1991|08/14/1991|07/26/1991|5.1880000E+01
10041|"HILAA"|2|"HILARIÓN-Abastos"|"Carrera 22 con Ave. Carlos Soublette #8-35"|"San Cristóbal"|"Táchira"|"5022"|"Venezuela"|2|07/18/1991|08/15/1991|07/31/1991|2.5400000E+00
10042|"FOLKO"|9|"Folk och fä HB"|"Åkergatan 24"|"Bräcke"|?|"S-844 67"|"Sweden"|3|07/19/1991|08/16/1991|08/13/1991|1.0603000E+02
10043|"LINOD"|9|"LINO-Delicateses"|"Ave. 5 de Mayo Porlamar"|"I. de Margarita"|"Nueva Esparta"|"4980"|"Venezuela"|2|07/22/1991|08/19/1991|07/31/1991|1.6619000E+02
10044|"ANTON"|3|"Antonio Moreno Taquería"|"Mataderos  2312"|"México D.F."|?|"05023"|"Mexico"|3|07/23/1991|08/20/1991|08/01/1991|6.7610000E+01
10045|"BERGS"|9|"Berglunds snabbköp"|"Berguvsvägen  8"|"Luleå"|?|"S-958 22"|"Sweden"|1|07/25/1991|09/05/1991|07/31/1991|2.2420000E+01
10046|"SANTG"|3|"Santé Gourmet"|"Erling Skakkes gate 78"|"Stavern"|?|"4110"|"Norway"|3|07/26/1991|08/23/1991|08/02/1991|1.6190000E+01
10047|"MORGK"|4|"Morgenstern Gesundkost"|"Heerstr. 22"|"Leipzig"|?|"04179"|"Germany"|1|07/29/1991|08/26/1991|08/01/1991|1.7700000E+01
10048|"HILAA"|7|"HILARIÓN-Abastos"|"Carrera 22 con Ave. Carlos Soublette #8-35"|"San Cristóbal"|"Táchira"|"5022"|"Venezuela"|1|07/30/1991|08/27/1991|08/21/1991|6.1830000E+01
10049|"TOMSP"|5|"Toms Spezialitäten"|"Luisenstr. 48"|"Münster"|?|"44087"|"Germany"|2|07/31/1991|08/28/1991|08/05/1991|4.8000000E+00
10050|"BOLID"|4|"Bólido Comidas preparadas"|"C/ Araquil, 67"|"Madrid"|?|"28023"|"Spain"|3|08/02/1991|08/30/1991|08/08/1991|4.8640000E+01
10051|"FOLKO"|5|"Folk och fä HB"|"Åkergatan 24"|"Bräcke"|?|"S-844 67"|"Sweden"|3|08/05/1991|09/02/1991|08/23/1991|2.1730000E+01
10052|"SAVEA"|7|"Save-a-lot Markets"|"187 Suffolk Ln."|"Boise"|"ID"|"83720"|"USA"|2|08/06/1991|09/17/1991|08/08/1991|1.8151000E+02
10053|"WARTH"|4|"Wartian Herkku"|"Torikatu 38"|"Oulu"|?|"90110"|"Finland"|1|08/07/1991|09/04/1991|08/09/1991|6.2620000E+01
10054|"RICAR"|4|"Ricardo Adocicados"|"Av. Copacabana, 267"|"Rio de Janeiro"|"RJ"|"02389-890"|"Brazil"|2|08/08/1991|09/05/1991|08/13/1991|5.2390000E+01
10055|"BLONP"|3|"Blondel père et fils"|"24, place Kléber"|"Strasbourg"|?|"67000"|"France"|1|08/12/1991|09/09/1991|09/16/1991|1.3533000E+02
10056|"LILAS"|4|"LILA-Supermercado"|"Carrera 52 con Ave. Bolívar #65-98 Llano Largo"|"Barquisimeto"|"Lara"|"3508"|"Venezuela"|3|08/13/1991|09/10/1991|08/21/1991|2.0090000E+01
10057|"THECR"|4|"The Cracker Box"|"55 Grizzly Peak Rd."|"Butte"|"MT"|"59801"|"USA"|2|08/14/1991|09/25/1991|08/23/1991|4.0300000E+00
10058|"HUNGO"|3|"Hungry Owl All-Night Grocers"|"8 Johnstown Road"|"Cork"|"Co. Cork"|?|"Ireland"|1|08/15/1991|09/26/1991|08/16/1991|1.0166000E+02
10059|"LILAS"|2|"LILA-Supermercado"|"Carrera 52 con Ave. Bolívar #65-98 Llano Largo"|"Barquisimeto"|"Lara"|"3508"|"Venezuela"|1|08/16/1991|09/13/1991|09/20/1991|2.2450000E+01
10060|"SEVES"|4|"Seven Seas Imports"|"90 Wadhurst Rd."|"London"|?|"OX15 4NB"|"UK"|2|08/20/1991|09/03/1991|09/13/1991|1.0191000E+02
10061|"EASTC"|1|"Eastern Connection"|"35 King George"|"London"|?|"WX3 6FW"|"UK"|2|08/21/1991|09/18/1991|08/23/1991|4.3400000E+00
10062|"ALFKI"|5|"Alfred's Futterkiste"|"Obere Str. 57"|"Berlin"|?|"12209"|"Germany"|2|08/22/1991|09/19/1991|08/29/1991|4.7220000E+01
10063|"HUNGO"|4|"Hungry Owl All-Night Grocers"|"8 Johnstown Road"|"Cork"|"Co. Cork"|?|"Ireland"|2|08/23/1991|09/20/1991|09/02/1991|1.5330000E+01
10064|"VAFFE"|5|"Vaffeljernet"|"Smagsløget 45"|"Århus"|?|"8200"|"Denmark"|2|08/26/1991|09/23/1991|09/13/1991|1.0270000E+01
10065|"SAVEA"|1|"Save-a-lot Markets"|"187 Suffolk Ln."|"Boise"|"ID"|"83720"|"USA"|3|08/28/1991|09/25/1991|09/03/1991|4.5030000E+01
10066|"WARTH"|4|"Wartian Herkku"|"Torikatu 38"|"Oulu"|?|"90110"|"Finland"|2|08/29/1991|10/10/1991|09/02/1991|7.3100000E+00
10067|"FRANR"|9|"France restauration"|"54, rue Royale"|"Nantes"|?|"44000"|"France"|2|08/30/1991|09/27/1991|09/03/1991|2.6310000E+01
10068|"PICCO"|1|"Piccolo und mehr"|"Geislweg 14"|"Salzburg"|?|"5020"|"Austria"|2|09/02/1991|09/30/1991|09/09/1991|1.9150000E+01
10069|"LAMAI"|3|"La maison d'Asie"|"1 rue Alsace-Lorraine"|"Toulouse"|?|"31000"|"France"|2|09/03/1991|10/01/1991|09/06/1991|2.5450000E+01
